Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Author,Total Review,Type Review
Yeonwoo's Innocence,7.35,367,4194,11139,"1,432",25,Unknown,Unknown,Publishing,"Sep  21, 2020 to ?",[],"['Romantic Subtext', 'School']",Esol (Story & Art),2,"[2, 0, 0]"
Alice-san Chi no Iroribata,7.33,322,4344,9365,"1,812",8,Unknown,Unknown,Publishing,"Oct  17, 2020 to ?","['Gourmet', 'Slice of Life']",[],"Kinami, Bunta (Story & Art)",3,"[3, 0, 0]"
Studio Cabana,7.33,294,4345,8826,"1,947",18,Unknown,Unknown,Publishing,"Jun  24, 2021 to ?",[],[],"Uma, Aguri (Story & Art)",1,"[1, 0, 0]"
Omega no Mukotori,7.33,298,4347,18577,660,3,1,6,Finished,"Aug  30, 2020 to Apr  30, 2021","['Boys Love', 'Drama']",[],"Kuroi, Yodaka (Story & Art)",0,"[0, 0, 0]"
Bless,7.33,280,4348,8879,"1,932",11,Unknown,Unknown,Publishing,"Jan  17, 2022 to ?",[],[],"Sonoyama, Yukino (Story & Art)",2,"[2, 0, 0]"
Summertime Render 2026: Mizen Jikobukken (Summertime Rendering 2026: The Room that Dreams of Murder),7.33,744,4349,8624,"2,013",8,1,Unknown,Finished,"Apr  14, 2022 to Apr  15, 2022","['Mystery', 'Supernatural', 'Suspense']",[],"Tanaka, Yasunori (Story & Art)",0,"[0, 0, 0]"
"Imouto wa Neko (My Sister, The Cat)",7.33,173,4350,18206,682,3,3,35,Finished,"Dec  23, 2019 to Jul  4, 2022",[],"['Anthropomorphic', 'Childcare']",Senko (Story & Art),0,"[0, 0, 0]"
The Little Lady Behind the Scenes,7.33,558,4351,7883,"2,256",11,Unknown,Unknown,Publishing,"Oct  31, 2021 to ?","['Fantasy', 'Romance']",[],"Yehwon (Story), Chunghae (Art)",1,"[1, 0, 0]"
Karina's Last Days,7.33,659,4352,6838,"2,681",20,Unknown,Unknown,Publishing,"Nov  20, 2021 to ?","['Drama', 'Fantasy', 'Romance']",[],"Ja, Eunhyang (Story), Kimpeul (Art)",1,"[1, 0, 0]"
Kita no Toride nite,7.33,199,4354,18492,665,6,Unknown,Unknown,Publishing,"Sep  8, 2020 to ?",[],"['Isekai', 'Reincarnation']","Mikuni, Tsukasa (Story), Akeno, Tawa (Art)",0,"[0, 0, 0]"
Shuumatsu no Walküre Kitan: Jack the Ripper no Jikenbo (Record of Ragnarok: Jack the Ripper Case Files),7.33,390,4355,11655,"1,345",17,Unknown,Unknown,Publishing,"Oct  25, 2022 to ?",[],[],"Fukui, Takumi (Story), Umemura, Shinya (Story), Iizuka, Keita (Art)",2,"[1, 0, 1]"
"Koiseyo Mayakashi Tenshi-domo (Fall in Love, You False Angels)",7.33,193,4357,10227,"1,621",10,Unknown,Unknown,Publishing,"Apr  24, 2023 to ?","['Comedy', 'Romance']",[],"Uzuki, Coco (Story & Art)",0,"[0, 0, 0]"
Ohimesama no Himitsu (Secret of the Princess),7.33,2616,4402,3820,"5,141",29,1,7,Finished,"Nov  30, 2012 to Jan  28, 2015","['Comedy', 'Girls Love']",[],"Morinaga, Milk (Story & Art)",2,"[1, 1, 0]"
Kurokouchi,7.33,247,4403,11966,"1,297",9,23,224,Finished,"Feb  3, 2012 to Feb  23, 2018","['Mystery', 'Suspense']",[],"Nagasaki, Takashi (Story), Kouno, Kouji (Art)",1,"[1, 0, 0]"
Magicraft Meister,7.33,246,4404,13265,"1,123",7,Unknown,Unknown,Publishing,"Nov  22, 2013 to ?","['Adventure', 'Fantasy']",[],"Miyuki, Ruria (Art), Akigitsune (Story)",0,"[0, 0, 0]"
Fujimi Lovers (Undead Lovers),7.33,2943,4405,2499,"7,798",136,3,15,Finished,"Apr  9, 2013 to Feb  8, 2014","['Comedy', 'Drama', 'Romance', 'Supernatural']",[],"Takagi, Yuna (Story & Art)",4,"[4, 0, 0]"
Umi no Cradle (The Cradle of The Sea),7.33,1024,4406,5530,"3,421",39,4,23,Finished,"Aug  21, 2013 to Aug  20, 2016",[],"['Childcare', 'Historical']","Nagano, Mei (Story & Art)",2,"[1, 1, 0]"
Vanilla Fiction,7.33,180,4407,18456,667,26,8,42,Finished,"Aug  11, 2012 to Feb  12, 2016",[],[],"Osuga, Megumi (Story & Art)",1,"[0, 1, 0]"
Setsuna Graffiti (Graffiti in the Moment),7.33,598,4408,8323,"2,108",29,4,17,Finished,"Jul  28, 2014 to Dec  28, 2015",[],[],"Kino, Hinoki (Story & Art)",0,"[0, 0, 0]"
Konjiki no Word Master: Yuusha Yonin ni Makikomareta Unique Cheat,7.33,8684,4409,661,"25,944",205,Unknown,Unknown,Publishing,"Oct  9, 2014 to ?","['Action', 'Adventure', 'Fantasy']",[],"Ozaki, Yuusuke (Art), Tomoto, Sui (Story)",4,"[1, 3, 0]"
Trace 1.5: Communicator,7.33,504,4410,12884,"1,168",12,Unknown,39,Finished,"Dec  19, 2011 to May  21, 2012","['Action', 'Drama', 'Fantasy', 'Sci-Fi', 'Supernatural']",[],"Go, Yeong-Hun (Story & Art)",1,"[1, 0, 0]"
Sayonara Piano Sonata: Encore Pieces,7.33,111,4411,27667,300,0,1,5,Finished,"Oct  10, 2009","['Drama', 'Romance', 'Slice of Life']",[],"Sugii, Hikaru (Story), Ueda, Ryo (Art)",1,"[0, 1, 0]"
Net-juu no Susume (Recommendation of The Internet Enhancement),7.33,666,4412,3302,"6,017",37,Unknown,87,Discontinued,"Oct  16, 2013 to Jul  21, 2015",[],[],"Kokuyou, Rin (Story & Art)",1,"[1, 0, 0]"
Nozomanu Fushi no Boukensha (The Unwanted Undead Adventurer),7.33,594,4386,7195,"2,523",31,Unknown,Unknown,Publishing,"Oct  25, 2017 to ?","['Action', 'Adventure', 'Fantasy']",[],"Okano, Yuu (Story), Jaian (Art)",2,"[2, 0, 0]"
Tantei Xeno to Nanatsu no Satsujin Misshitsu (Detective Xeno and the Seven Locked Murder Rooms),7.33,402,4387,10143,"1,638",10,8,79,Finished,"Nov  29, 2017 to Jul  17, 2019",[],[],"Nanatsuki, Kyoichi (Story), Sugiyama, Teppei (Art)",0,"[0, 0, 0]"
Tsurezurebiyori (Our Wonderful Days),7.33,3155,4388,2104,"9,132",98,3,19,Finished,"Oct  18, 2017 to Sep  18, 2019","['Girls Love', 'Slice of Life']",[],"Hamuro, Kei (Story & Art)",8,"[8, 0, 0]"
Kono Subarashii Sekai ni Shukufuku wo! Megumin Anthology,7.33,270,4389,16092,834,2,1,13,Finished,"Dec  23, 2016","['Adventure', 'Comedy', 'Fantasy']",[],"Nadaka, Harutsugu (Story & Art), Tanimura, Marika (Story & Art), Futaba, Masumi (Story & Art), Kazahana, Chiruwo (Story & Art), Yaya, Hinata (Story & Art), Kino, Konoki (Story & Art), Orie, Mika (Story & Art), Mori, Airi (Story & Art), Araragi, Ayune (Story & Art), Tamura, Hiro (Story & Art)",0,"[0, 0, 0]"
Tama no Gohoubi,7.33,2227,4390,3410,"5,821",54,4,17,Finished,"Aug  10, 2018 to Dec  13, 2019",[],[],"Hoshiya, Kaori (Story & Art)",2,"[1, 1, 0]"
Heroine Hajimemashita. (Heroine for Hire),7.33,1561,4392,3673,"5,357",29,4,17,Finished,"Nov  24, 2018 to May  23, 2020","['Comedy', 'Romance']",[],"Amakura, Fuyu (Story & Art)",2,"[0, 2, 0]"
Dokgo 2,7.33,391,4393,14078,"1,034",7,5,Unknown,Finished,"Dec  10, 2016 to Oct  14, 2018","['Action', 'Drama']","['Delinquents', 'School']","Baek, Seung Hoon (Art), Meen (Story)",1,"[1, 0, 0]"
Tong,7.33,342,4394,15481,891,13,4,Unknown,Finished,Jan  2013 to Dec  2013,"['Action', 'Drama']","['Delinquents', 'School']","Baek, Seung Hoon (Art), Meen (Story)",1,"[1, 0, 0]"
"Nihon e Youkoso Elf-san. (Welcome to Japan, Ms. Elf!)",7.33,2527,4395,2141,"8,989",46,Unknown,Unknown,Publishing,"Dec  21, 2018 to ?",[],[],"Makishima, Suzuki (Story), Aono, Sumio (Art)",2,"[1, 1, 0]"
Spectral Wizard,7.33,247,4396,18378,672,21,1,5,Finished,"Aug  31, 2014 to May  5, 2016","['Drama', 'Fantasy']",[],Mozou Crystal (Story & Art),0,"[0, 0, 0]"
Ame demo Hare demo (Come Rain or Shine),7.33,1002,4397,6967,"2,621",25,3,21,Finished,"Dec  26, 2019 to Feb  26, 2022","['Girls Love', 'Slice of Life']",[],"Arata, Iri (Story & Art)",2,"[0, 1, 1]"
Shoujo Manga Shujinkou x Rival-san,7.33,1696,4398,4184,"4,659",48,4,47,Finished,"Apr  22, 2020 to Aug  20, 2021","['Comedy', 'Girls Love']",[],Kuu (Story & Art),2,"[1, 1, 0]"
"Ijimeru Aitsu ga Warui no ka, Ijimerareta Boku ga Warui no ka? (Is It My Fault That I Got Bullied?)",7.33,3654,4399,2723,"7,200",61,6,30,Finished,"Jun  5, 2020 to Jun  17, 2022","['Drama', 'Suspense']","['Psychological', 'School']","Hioka, Yen (Art), Kimizuka, Chikara (Story)",7,"[4, 1, 2]"
Shuumatsu Touring (Touring After the Apocalypse),7.33,292,4400,8286,"2,119",16,Unknown,Unknown,Publishing,"Sep  26, 2020 to ?","['Adventure', 'Slice of Life']",[],"Saitou, Sakae (Story & Art)",1,"[1, 0, 0]"
Inazuma to Romance (Lightning and Romance),7.33,369,4401,8207,"2,149",21,Unknown,Unknown,Publishing,"Jan  13, 2021 to ?","['Comedy', 'Romance']",[],"Mikimoto, Rin (Story & Art)",1,"[0, 0, 1]"
"Jinrou e no Tensei, Maou no Fukukan (Der Werwolf: The Annals of Veight)",7.33,282,4432,12410,"1,240",11,Unknown,Unknown,Publishing,"Nov  14, 2015 to ?",[],[],"Nishieda (Art), Hyougetsu (Story)",1,"[1, 0, 0]"
Dear My Teacher,7.33,919,4433,5972,"3,124",27,Unknown,Unknown,Publishing,"Dec  30, 2012 to ?","['Girls Love', 'Romance']",[],Ajiichi (Story & Art),2,"[2, 0, 0]"
