Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Genres,Author,Recommended,Mixed Feelings,Not Recommended,Release date,Completed date
Mo Dao Zu Shi (Grandmaster of Demonic Cultivation: Mo Dao Zu Shi),8.57,2365,103,3871,5069,536,4,27,Finished,"['Action', 'Adventure', 'Boys Love', 'Mystery', 'Supernatural']",['Mo Xiang Tong Xiu'],0,1,1,2016-12-08,2023-12-11
Spy x Family,8.56,122740,104,18,294187,19940,4,28,Publishing,"['Action', 'Comedy']",['Endou Tatsuya'],49,4,0,2019-03-25,2023-12-11
Souyaku Toaru Majutsu no Index,8.56,776,105,6357,2921,128,4,28,Publishing,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi', 'Supernatural']","['Kamachi Kazuma', 'Haimura Kiyotaka']",1,0,0,2020-02-07,2023-12-11
Rurouni Kenshin: Meiji Kenkaku Romantan (Rurouni Kenshin: Meiji Swordsman Romantic Story),8.56,46964,107,140,96077,7229,28,259,Finished,"['Action', 'Drama']",['Watsuki Nobuhiro'],28,2,0,1994-04-12,1999-09-21
Kidou Senshi Gundam: The Origin (Mobile Suit Gundam: The Origin),8.56,3608,108,1251,14780,761,24,112,Finished,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']","['Yasuhiko Yoshikazu', 'Tomino Yoshiyuki']",2,0,0,2001-06-25,2014-06-26
Skip Beat!,8.56,38758,109,151,90315,9157,4,28,Publishing,"['Comedy', 'Drama', 'Romance']",['Nakamura Yoshiki'],54,4,0,2002-02-15,2023-12-11
Otoyomegatari (A Bride's Story),8.56,15863,111,213,69533,2570,4,28,Publishing,"['Award Winning', 'Romance']",['Mori Kaoru'],20,0,1,2008-10-14,2023-12-11
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka? (WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?),8.56,5215,113,689,25040,917,5,25,Finished,"['Drama', 'Fantasy', 'Romance', 'Sci-Fi']","['Kareno Akira', 'ue']",5,1,0,2014-11-01,2016-04-01
Shingeki no Kyojin (Attack on Titan),8.55,400404,114,2,644557,68999,34,141,Finished,"['Action', 'Award Winning', 'Drama']",['Isayama Hajime'],280,52,112,2009-09-09,2021-04-09
Kamisama Hajimemashita (Kamisama Kiss),8.54,34869,116,158,87232,5434,25,154,Finished,"['Comedy', 'Fantasy', 'Romance', 'Supernatural']",['Suzuki Julietta'],26,2,0,2008-02-20,2016-05-20
Baccano!,8.53,2656,117,907,19192,477,22,28,On Hiatus,"['Action', 'Fantasy', 'Mystery']","['Narita Ryohgo', 'Enami Katsumi']",2,0,0,2003-02-10,2016-08-10
Kakukaku Shikajika (Blank Canvas: My So-Called Artist's Journey),8.53,7107,119,657,26273,1075,5,34,Finished,"['Award Winning', 'Slice of Life']",['Higashimura Akiko'],16,0,1,2011-11-28,2015-01-28
Jujutsu Kaisen,8.53,170818,120,13,379758,29822,4,28,Publishing,"['Action', 'Supernatural']",['Akutami Gege'],53,27,10,2018-03-05,2023-12-11
Blue Lock,8.53,70869,121,59,159611,12318,4,28,Publishing,"['Award Winning', 'Sports']","['Kaneshiro Muneyuki', 'Nomura Yuusuke']",56,9,9,2018-08-01,2023-12-11
Monogatari Series: Off Season,8.53,1373,123,3343,5945,121,4,155,Finished,"['Comedy', 'Drama', 'Mystery', 'Supernatural']","['NISIO ISIN', 'VOFAN']",2,0,0,2015-10-05,2017-01-11
Given,8.53,22465,124,260,59167,4308,9,58,Finished,"['Boys Love', 'Drama']",['Kizu Natsuki'],9,2,1,2013-04-30,2023-03-30
