Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Author,Total Review,Type Review
Kokoro ga Sakebitagatterunda.,7.40,359,3658,7499,"2,399",17,4,28,Finished,"Jul  8, 2015 to Jul  13, 2016","['Drama', 'Romance', 'Supernatural']",[],"Akui, Makoto (Art)",0,"[0, 0, 0]"
"Takane no Hana nara Ochitekoi!!Lofty Flower, Fall for Me!!",7.40,2019,3659,2069,"9,217",47,8,72,Finished,"Sep  3, 2015 to Jun  20, 2019","['Comedy', 'Romance']",[],"Natsume, Ayano (Story & Art)",7,"[7, 0, 0]"
Bungo,7.40,791,3660,7363,"2,450",40,Unknown,Unknown,Publishing,"Dec  18, 2014 to ?",[],[],"Ninomiya, Yuuji (Story & Art)",3,"[2, 0, 1]"
Monster Musume no Iru Nichijou 4-koma AnthologyMonster Musume: I ♥ Monster Girls,7.40,746,3661,6025,"3,088",39,Unknown,Unknown,Publishing,"Aug  12, 2015 to ?","['Comedy', 'Fantasy']",[],"Nobuyoshi, Samurai (Story & Art), Shiraha, Mato (Story & Art), Horitomo (Story & Art), Shidou, Mayuru (Story & Art), AHOBAKA (Story & Art), Tottori, Sakyuu (Story & Art), Z-ton (Story & Art), Cool-kyou Shinja (Story & Art), Kanemaki, Tomasu (Story & Art), nenemaru (Story & Art), Shake O (Story & Art), Advenchara (Story & Art), Kurokawa, Otogi (Story & Art), 7010 (Story & Art), Hinoshika, Tamon (Story & Art), U-temo (Story & Art), 221 (Story & Art), Tsunamino, Yuu (Story & Art), Yamato, Nadeshiko (Story & Art)",0,"[0, 0, 0]"
Zettai ni Hatarakitakunai Dungeon Master ga Damin wo Musaboru madeLazy Dungeon Master,7.40,830,3662,5852,"3,193",37,17,136,Finished,"Apr  25, 2016 to Jun  25, 2022","['Adventure', 'Comedy', 'Fantasy']",[],"Youta (Art), Onikage, Spanner (Story)",3,"[3, 0, 0]"
Toki,7.40,197,3663,14699,960,20,Unknown,Unknown,Publishing,"Jun  25, 2016 to ?",[],"['School', 'Strategy Game']",Mekimeki (Story & Art),0,"[0, 0, 0]"
Emperor to IsshoThe Emperor and I,7.40,1935,3664,4235,"4,567",66,4,43,Finished,"Oct  28, 2015 to Jul  12, 2017","['Comedy', 'Slice of Life']",[],mato (Story & Art),4,"[4, 0, 0]"
Ne Ne Ne,7.40,6777,3665,1320,"14,149",120,1,7,Finished,"Jul  12, 2016 to Aug  12, 2017","['Comedy', 'Romance', 'Slice of Life', 'Supernatural']",[],"Hagiwara, Daisuke (Art), Otousan (Story)",9,"[5, 2, 2]"
Ore ga Suki nano wa Imouto dakedo Imouto ja Nai,7.40,218,3666,9291,"1,823",22,13,79,Finished,"Aug  20, 2016 to Mar  19, 2020","['Comedy', 'Romance']",[],"Gintarou (Art), Ebisu, Seiji (Story)",0,"[0, 0, 0]"
Tatoe Todokanu Ito da toshitemoIf I Could Reach You,7.40,4877,3667,1304,"14,264",277,7,37,Finished,"Nov  18, 2016 to Oct  17, 2020","['Drama', 'Girls Love']",[],tMnR (Story & Art),11,"[10, 0, 1]"
